,Split2,Split3,Split4,Split5
0,3.562295387382619e-05,0.0003149460826534778,0.0004047216207254678,0.00025368842761963606
1,0.00017007012502290308,0.0003425492031965405,0.000638458994217217,0.00016525488172192127
2,0.0005404391558840871,0.00023218244314193726,0.0007970095612108707,0.00014646143245045096
3,0.0003258454380556941,0.0003680264053400606,0.0015932669630274177,0.00015955895651131868
4,0.00016683967260178179,0.00046434649266302586,0.0013693046057596803,0.0002192166866734624
5,9.06435598153621e-05,0.0006489488296210766,0.0012958627194166183,0.0003890966181643307
6,5.432641410152428e-05,0.0005589151987805963,0.0011730263940989971,0.0007249215850606561
7,4.522927702055313e-05,0.0006664606626145542,0.0009898679563775659,0.0009492267854511738
8,3.766041845665313e-05,0.0005208015209063888,0.00042761859367601573,0.0006501336465589702
9,3.184932211297564e-05,0.00030526527552865446,0.00016090106510091573,0.0003445435140747577
10,2.813750325003639e-05,0.00032498998916707933,0.00010268735786667094,0.00018311667372472584
11,2.7034086087951437e-05,0.0003207602130714804,9.902141755446792e-05,0.00013619032688438892
12,3.356420711497776e-05,0.00031831927481107414,0.00010655829828465357,0.00012569651880767196
13,6.535949796671048e-05,0.0003031170053873211,9.192448487738147e-05,0.00012715038610622287
14,7.300246943486854e-05,0.0002815939951688051,9.027686610352248e-05,0.00012926486670039594
15,6.217632471816614e-05,0.00024821420083753765,9.106702054850757e-05,0.00012987153604626656
16,3.19223508995492e-05,0.0002166779595427215,9.197722101816908e-05,0.00013020499318372458
17,3.192791700712405e-05,0.00018887431360781193,9.290207526646554e-05,0.0001327668724115938
18,5.193981633055955e-05,0.00016326605691574514,9.349589527118951e-05,0.0001360884925816208
19,6.958840094739571e-05,0.00013833765115123242,9.431726357433945e-05,0.0001383494964102283
20,6.340674008242786e-05,0.00011507775343488902,9.611353743821383e-05,0.0001458671613363549
21,6.062860120437108e-05,9.865060565061867e-05,9.86563682090491e-05,0.00015743778203614056
22,5.277656964608468e-05,9.757134830579162e-05,0.00010161460522795096,0.00017809461860451847
23,4.724174868897535e-05,0.0001366577489534393,0.00010481948993401602,0.00021561552421189845
24,4.326533598941751e-05,0.00022591812012251467,0.00010830300016095862,0.00027961377054452896
25,3.896952694049105e-05,0.00023758396855555475,0.00011368905688868836,0.0003654239990282804
26,3.508028021315113e-05,0.00027357900398783386,0.0001217516910401173,0.00042609995580278337
27,3.181666033924557e-05,0.000258656800724566,0.00013345047773327678,0.000412276218412444
28,2.9661867301911116e-05,0.00017848500283434987,0.00015356106450781226,0.000299431529128924
29,2.811590275086928e-05,9.822294668992981e-05,0.00018035942048300058,0.00019105644605588168
30,2.7413345378590748e-05,0.00010275511885993183,0.00022054971486795694,0.00012112371041439474
31,2.7057296392740682e-05,0.00013220275286585093,0.00026664690813049674,0.00010130886221304536
32,2.6654077373677865e-05,0.00017182770534418523,0.00031219320953823626,0.0001012854918371886
33,2.6411007638671435e-05,0.0001810025714803487,0.0003292673791293055,0.00010609155287966132
34,2.630427661642898e-05,0.00021013336663600057,0.00031405023764818907,0.00010712473158491775
35,2.6374318622401915e-05,0.0002088324399664998,0.00027326366398483515,0.00010735275282058865
36,2.5990233552874997e-05,0.00023533641069661826,0.0002305723901372403,0.00010868263052543625
37,2.643624429765623e-05,0.00023333035642281175,0.00019287189934402704,0.00011387147242203355
38,2.7528891223482788e-05,0.00025210060994140804,0.00016840518219396472,0.000115262417239137
39,2.801775190164335e-05,0.00024506839690729976,0.00016810299712233245,0.00012224276724737138
40,2.81702377833426e-05,0.0002634812262840569,0.00018149266543332487,0.00013980339281260967
41,2.7051813958678395e-05,0.0002555169048719108,0.00019798944413196295,0.00017139007104560733
42,2.8891330657643266e-05,0.0002797954948619008,0.00019791486556641757,0.0002530142373871058
43,3.643700620159507e-05,0.00027203926583752036,0.00018137262668460608,0.0004917152691632509
44,4.242387876729481e-05,0.0002912770432885736,0.00016078707994893193,0.0008052603807300329
45,3.849325730698183e-05,0.0002870826283469796,0.00014764130173716694,0.0008080034167505801
46,2.8171729354653507e-05,0.000295229721814394,0.00014272148837335408,0.00043917360017076135
47,2.626902460178826e-05,0.0003032068780157715,0.00014118193939793855,0.00017049921734724194
48,3.502189429127611e-05,0.00030396360671147704,0.00014645064948126674,8.201369200833142e-05
49,7.414373249048367e-05,0.0003104346978943795,0.00014902983093634248,9.513131226412952e-05
